Symbol,Date,Close
XOM,2012-09-04,87.120003
XOM,2012-09-05,87.330002
XOM,2012-09-06,88.989998
XOM,2012-09-07,89.919998
XOM,2012-09-10,89.480003
XOM,2012-09-11,89.620003
XOM,2012-09-12,89.550003
XOM,2012-09-13,91.230003
XOM,2012-09-14,92.300003
XOM,2012-09-17,91.910004
XOM,2012-09-18,91.650002
XOM,2012-09-19,90.57
XOM,2012-09-20,91.519997
XOM,2012-09-21,91.919998
XOM,2012-09-24,91.879997
XOM,2012-09-25,91.739998
XOM,2012-09-26,91.230003
XOM,2012-09-27,91.800003
XOM,2012-09-28,91.449997
XOM,2012-10-01,91.800003
XOM,2012-10-02,91.720001
XOM,2012-10-03,91.699997
XOM,2012-10-04,92.220001
XOM,2012-10-05,92.550003
XOM,2012-10-08,92.68
XOM,2012-10-09,92.129997
XOM,2012-10-10,91.029999
XOM,2012-10-11,91.169998
XOM,2012-10-12,91.029999
XOM,2012-10-15,91.510002
XOM,2012-10-16,92.379997
XOM,2012-10-17,93.389999
XOM,2012-10-18,93.480003
XOM,2012-10-19,92.150002
XOM,2012-10-22,92.190002
XOM,2012-10-23,90.18
XOM,2012-10-24,89.879997
XOM,2012-10-25,90.43
XOM,2012-10-26,90.620003
XOM,2012-10-31,91.169998
XOM,2012-11-01,91.599998
XOM,2012-11-02,90.269997
XOM,2012-11-05,90.629997
XOM,2012-11-06,91.610001
XOM,2012-11-07,88.18
XOM,2012-11-08,87.07
XOM,2012-11-09,87.209999
XOM,2012-11-12,87.32
XOM,2012-11-13,86.470001
XOM,2012-11-14,86.07
XOM,2012-11-15,86.139999
XOM,2012-11-16,86.449997
XOM,2012-11-19,87.669998
XOM,2012-11-20,87.5
XOM,2012-11-21,88.010002
XOM,2012-11-23,89.089996
XOM,2012-11-26,88.620003
XOM,2012-11-27,87.349998
XOM,2012-11-28,88.099998
XOM,2012-11-29,88.120003
XOM,2012-11-30,88.139999
XOM,2012-12-03,87.610001
XOM,2012-12-04,87.190002
XOM,2012-12-05,87.730003
XOM,2012-12-06,88.0
XOM,2012-12-07,88.599998
XOM,2012-12-10,88.410004
XOM,2012-12-11,88.989998
XOM,2012-12-12,89.449997
XOM,2012-12-13,88.580002
XOM,2012-12-14,88.080002
XOM,2012-12-17,88.870003
XOM,2012-12-18,89.559998
XOM,2012-12-19,88.440002
XOM,2012-12-20,88.889999
XOM,2012-12-21,87.230003
